XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,500,50,50,FALSE,20000,TRUE,2048,5854.45817
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,250,100,100,TRUE,30000,TRUE,2048,5857.773265
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,200,100,250,10,50,TRUE,30000,FALSE,1024,5859.031697
256,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,250,100,50,FALSE,10000,FALSE,1024,5862.351976
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,100,200,TRUE,10000,TRUE,2048,5868.659403
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,200,25,250,10,200,FALSE,30000,TRUE,2048,5875.210528
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,500,50,75,50,100,TRUE,20000,TRUE,2048,5886.970173
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,1000,50,75,10,100,TRUE,30000,TRUE,1024,5895.067793
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,500,50,50,TRUE,20000,FALSE,1024,5904.465744
256,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,10,200,TRUE,20000,TRUE,1024,5905.27932
128,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,10,50,TRUE,20000,TRUE,1024,5914.709883
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,100,250,50,50,FALSE,10000,TRUE,1024,5933.192255
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,1000,50,500,10,200,TRUE,10000,TRUE,2048,5942.594537
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,100,50,TRUE,20000,TRUE,1024,5948.014355
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,25,500,50,50,FALSE,10000,TRUE,2048,5948.604061
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,200,100,250,50,200,FALSE,20000,TRUE,1024,5972.169689
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,500,10,100,TRUE,30000,FALSE,2048,5973.596703
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,500,10,50,TRUE,10000,TRUE,1024,5979.073244
128,128,256,org.apache.coyote.http11.Http11Protocol,8192,1000,50,75,50,50,FALSE,10000,TRUE,1024,5985.395635
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,500,10,100,TRUE,30000,FALSE,2048,5991.970759
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,250,100,200,TRUE,20000,FALSE,2048,6003.602161
128,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,100,250,50,50,FALSE,20000,TRUE,1024,6025.548325
64,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,250,10,100,TRUE,10000,FALSE,1024,6027.364234
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,100,500,100,200,FALSE,30000,TRUE,2048,6038.161179
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,200,50,250,10,200,FALSE,30000,TRUE,1024,6050.582873
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,100,250,100,50,TRUE,20000,FALSE,1024,6067.347558
128,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,500,10,100,TRUE,30000,FALSE,1024,6070.785357
128,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,100,500,100,100,TRUE,20000,FALSE,1024,6076.6878
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,200,25,250,100,200,FALSE,10000,FALSE,1024,6095.330976
128,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,250,100,200,FALSE,30000,FALSE,1024,6101.033108
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,500,10,200,TRUE,30000,TRUE,1024,6117.080929
128,256,512,org.apache.coyote.http11.Http11Protocol,16384,1000,100,250,50,50,TRUE,20000,FALSE,1024,6123.448726
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,50,200,TRUE,30000,FALSE,1024,6125.4492
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,500,10,200,FALSE,10000,FALSE,2048,6126.57504
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,500,50,100,TRUE,10000,TRUE,2048,6132.837255
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,250,50,100,FALSE,20000,TRUE,2048,6132.96263
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,1000,50,75,100,100,FALSE,10000,FALSE,2048,6141.37444
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,100,200,FALSE,30000,TRUE,2048,6149.935426
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,500,100,50,TRUE,10000,FALSE,1024,6154.351126
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,10,50,TRUE,20000,FALSE,2048,6179.451265
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,250,100,50,TRUE,10000,TRUE,2048,6180.597046
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,500,50,50,FALSE,10000,TRUE,2048,6180.597046
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,250,50,200,TRUE,30000,FALSE,2048,6184.419386
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,10,100,TRUE,20000,FALSE,2048,6189.906326
256,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,250,100,50,TRUE,30000,TRUE,1024,6190.034045
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,50,200,TRUE,20000,TRUE,1024,6206.040546
64,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,100,TRUE,10000,FALSE,1024,6217.230017
64,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,250,100,50,TRUE,30000,FALSE,1024,6217.874316
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,75,10,200,TRUE,10000,TRUE,2048,6218.776559
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,500,100,200,TRUE,20000,FALSE,1024,6219.034391
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,100,100,FALSE,20000,TRUE,2048,6233.766234
128,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,250,10,50,FALSE,20000,TRUE,1024,6248.437891
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,50,50,TRUE,30000,FALSE,2048,6249.47921
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,500,10,200,TRUE,20000,FALSE,2048,6251.172095
64,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,100,200,TRUE,10000,TRUE,1024,6254.299831
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,50,100,TRUE,20000,TRUE,2048,6254.560617
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,75,50,100,FALSE,20000,FALSE,1024,6261.871465
